RegionNo,,Area1
StartPosition,,0.374
EndPosition,,-0.372

Position(pix),Position(m),Value
0,2147.484,0
1,2147.484,0
2,2147.484,0
3,2147.484,0
4,2147.484,0
5,2147.484,0
6,2147.484,0
7,2147.484,0
8,2147.484,0
9,2147.484,0
10,2147.484,0
11,2147.484,0
12,2147.484,0
13,2147.484,0
14,2147.484,0
15,2147.484,0
16,2147.484,0
17,2147.484,0
18,0.374,0
19,0.369,0
20,0.365,0
21,0.360,0
22,0.355,0
23,0.350,0
24,0.345,0
25,0.340,0
26,0.335,0
27,0.330,0
28,0.326,0
29,0.321,0
30,0.316,0
31,0.311,0
32,0.306,0
33,0.302,0
34,0.297,0
35,0.292,0
36,0.287,0
37,0.282,0
38,0.278,0
39,0.273,0
40,0.268,0
41,0.264,0
42,0.259,0
43,0.254,0
44,0.250,0
45,0.245,0
46,0.240,0
47,0.235,0
48,0.231,0
49,0.226,0
50,0.221,0
51,0.217,0
52,0.212,0
53,0.207,0
54,0.203,0
55,0.198,0
56,0.193,0
57,0.189,0
58,0.184,0
59,0.179,0
60,0.175,0
61,0.170,0
62,0.166,0
63,0.161,0
64,0.157,0
65,0.152,0
66,0.148,0
67,0.143,0
68,0.138,0
69,0.134,0
70,0.129,0
71,0.125,0
72,0.120,0
73,0.116,0
74,0.111,0
75,0.107,0
76,0.102,0
77,0.098,0
78,0.093,0
79,0.089,0
80,0.084,0
81,0.080,0
82,0.076,0
83,0.071,0
84,0.067,0
85,0.062,0
86,0.058,0
87,0.054,0
88,0.049,0
89,0.045,0
90,0.040,0
91,0.036,0
92,0.032,0
93,0.027,0
94,0.023,0
95,0.019,0
96,0.014,0
97,0.010,0
98,0.005,0
99,0.001,0
100,-0.003,0
101,-0.007,0
102,-0.012,0
103,-0.016,0
104,-0.020,0
105,-0.024,0
106,-0.029,0
107,-0.033,0
108,-0.037,0
109,-0.041,0
110,-0.046,0
111,-0.050,0
112,-0.054,0
113,-0.058,0
114,-0.062,0
115,-0.066,0
116,-0.071,0
117,-0.075,0
118,-0.079,0
119,-0.083,0
120,-0.087,0
121,-0.091,0
122,-0.095,0
123,-0.100,0
124,-0.104,0
125,-0.108,0
126,-0.112,0
127,-0.116,6
128,-0.120,24
129,-0.124,52
130,-0.128,74
131,-0.132,106
132,-0.136,140
133,-0.140,176
134,-0.144,211
135,-0.148,248
136,-0.152,288
137,-0.156,324
138,-0.160,362
139,-0.164,410
140,-0.168,472
141,-0.172,548
142,-0.176,647
143,-0.180,764
144,-0.184,905
145,-0.188,1059
146,-0.191,1224
147,-0.195,1403
148,-0.199,1588
149,-0.203,1769
150,-0.207,1956
151,-0.211,2150
152,-0.214,2326
153,-0.218,2464
154,-0.222,2551
155,-0.226,2555
156,-0.230,2454
157,-0.233,2267
158,-0.237,2032
159,-0.241,1780
160,-0.245,1535
161,-0.248,1330
162,-0.252,1160
163,-0.256,1010
164,-0.260,873
165,-0.263,749
166,-0.267,634
167,-0.271,520
168,-0.274,428
169,-0.278,347
170,-0.282,277
171,-0.285,220
172,-0.289,179
173,-0.292,136
174,-0.296,105
175,-0.300,80
176,-0.303,57
177,-0.307,41
178,-0.310,23
179,-0.314,6
180,-0.317,0
181,-0.321,0
182,-0.324,0
183,-0.328,0
184,-0.331,0
185,-0.335,0
186,-0.338,0
187,-0.342,0
188,-0.345,0
189,-0.349,0
190,-0.352,0
191,-0.356,0
192,-0.359,0
193,-0.362,0
194,-0.366,0
195,-0.369,0
196,-0.372,0
197,2147.484,0
198,2147.484,0
199,2147.484,0
200,2147.484,0
201,2147.484,0
202,2147.484,0
203,2147.484,0
204,2147.484,0
205,2147.484,0
206,2147.484,0
207,2147.484,0
208,2147.484,0
209,2147.484,0
210,2147.484,0
211,2147.484,0
212,2147.484,0
213,2147.484,0
214,2147.484,0
215,2147.484,0
216,2147.484,0
217,2147.484,0
218,2147.484,0
219,2147.484,0
220,2147.484,0
221,2147.484,0
222,2147.484,0
223,2147.484,0
224,2147.484,0
225,2147.484,0
226,2147.484,0
227,2147.484,0
228,2147.484,0
229,2147.484,0
230,2147.484,0
231,2147.484,0
232,2147.484,0
233,2147.484,0
234,2147.484,0
235,2147.484,0
236,2147.484,0
237,2147.484,0
238,2147.484,0
239,2147.484,0
240,2147.484,0
241,2147.484,0
242,2147.484,0
243,2147.484,0
244,2147.484,0
245,2147.484,0
246,2147.484,0
247,2147.484,0
248,2147.484,0
249,2147.484,0
250,2147.484,0
251,2147.484,0
252,2147.484,0
253,2147.484,0
254,2147.484,0
255,2147.484,0
